{'评论时间': '2024-02-02 19:58:28', 'IP属地': '湖北', '评论内容': '这里程表会显示多少码呢'}
{'评论时间': '2024-02-02 18:04:40', 'IP属地': '云南', '评论内容': '我怀疑它移动那点距离都是后面的交警推的'}
{'评论时间': '2024-02-02 19:41:16', 'IP属地': '重庆', '评论内容': '本来就打滑还给大油  '}
{'评论时间': '2024-02-02 22:47:53', 'IP属地': '湖北', '评论内容': '现在在下冰雹，就是不下雪'}
{'评论时间': '2024-02-02 21:05:02', 'IP属地': '湖北', '评论内容': '我们在新疆都是雪地胎'}
{'评论时间': '2024-02-02 15:59:56', 'IP属地': '福建', '评论内容': '请问路上好走吗'}
{'评论时间': '2024-02-02 23:31:12', 'IP属地': '湖北', '评论内容': '公司开空调，家里开暖气，舍得花钱就冻不着我'}
{'评论时间': '2024-02-02 19:50:40', 'IP属地': '湖北', '评论内容': '这警察也太死板了吧，都不知道推一把？'}
{'评论时间': '2024-02-02 17:43:06', 'IP属地': '河北', '评论内容': '还想可以啊能慢慢往前走……结果交警在后面推'}
{'评论时间': '2024-02-02 13:55:39', 'IP属地': '河南', '评论内容': '湖北真好，免赔贴车衣，这车衣不错！'}
{'评论时间': '2024-02-02 17:38:43', 'IP属地': '新疆', '评论内容': '后面推一下不行吗？非得站边上看。'}
{'评论时间': '2024-02-02 18:53:40', 'IP属地': '河南', '评论内容': '不懂就问  这种情况百公里油耗多少啊'}
{'评论时间': '2024-02-02 16:47:46', 'IP属地': '四川', '评论内容': '转速表和里程表对了一晚上账'}
{'评论时间': '2024-02-02 15:37:59', 'IP属地': '湖北', '评论内容': '湖北到处都在下冻雨，你不知道？'}
{'评论时间': '2024-02-02 17:45:09', 'IP属地': '湖北', '评论内容': '搞了半天这一两米还是警察蜀黍给推的啊'}
{'评论时间': '2024-02-02 22:03:57', 'IP属地': '江西', '评论内容': '南方没见过冻雨'}
{'评论时间': '2024-02-02 18:01:13', 'IP属地': '河南', '评论内容': '这样跑实际公里数不到一米。仪表盘显示几公里了'}
{'评论时间': '2024-02-02 18:48:28', 'IP属地': '湖南', '评论内容': '车不行'}
{'评论时间': '2024-02-02 17:44:20', 'IP属地': '宁夏', '评论内容': '哪有你这么起步的'}
{'评论时间': '2024-02-02 20:28:16', 'IP属地': '广东', '评论内容': '下班的路上'}
{'评论时间': '2024-02-02 19:56:59', 'IP属地': '湖北', '评论内容': '长这么大，我也是第一次见冻雨'}
{'评论时间': '2024-02-02 17:43:48', 'IP属地': '广西', '评论内容': '说实话，踩越死越打滑..反之不踩那么死，柔和一些，走的几率还更大一些..'}
{'评论时间': '2024-02-02 18:10:59', 'IP属地': '湖北', '评论内容': '关掉 esp就能起步了'}
{'评论时间': '2024-02-02 15:19:26', 'IP属地': '湖北', '评论内容': '全湖北都在背着武汉下雪'}
{'评论时间': '2024-02-02 14:57:37', 'IP属地': '湖北', '评论内容': '今天的武汉天气，知道湖北人为啥高冷了吧？“嗯”是因为太冷，一个字都不想多说！室内没有暖气，冬天嘎嘎的，全靠一身正气'}
{'评论时间': '2024-02-02 23:45:07', 'IP属地': '北京', '评论内容': '油耗跟里程一晚上没对上账'}
{'评论时间': '2024-02-02 18:24:11', 'IP属地': '江苏', '评论内容': '一点雪地驾驶经验没有'}
{'评论时间': '2024-02-02 15:33:02', 'IP属地': '江苏', '评论内容': '摩擦摩擦魔鬼的步伐'}
{'评论时间': '2024-02-02 18:41:09', 'IP属地': '河北', '评论内容': '你们不准备防滑链吗'}
{'评论时间': '2024-02-02 15:37:09', 'IP属地': '湖北', '评论内容': '那年在高速上堵着，油耗没了'}
{'评论时间': '2024-02-02 18:38:06', 'IP属地': '湖北', '评论内容': '给外地朋友翻译一下，一额：今天下冻雨啊。我还：表达愤怒和着急，主要意思我也不知道。那…：我也不知道'}
{'评论时间': '2024-02-02 18:51:45', 'IP属地': '河南', '评论内容': '最好轮胎厂家设计成轮胎花纹带钢钉或者是轮胎花纹深点的橡胶浑合时加点钢沙花纹沟与沟的距离宽于2至3公分以便行驶上好抓地防滑！'}
{'评论时间': '2024-02-02 20:09:02', 'IP属地': '湖北', '评论内容': '前轱辘转后轱辘不转思密达'}
{'评论时间': '2024-02-02 16:13:55', 'IP属地': '湖北', '评论内容': '我雨衣都结冰了，一边下雨一边结冰，不下雪就是任性'}
{'评论时间': '2024-02-02 19:55:38', 'IP属地': '湖北', '评论内容': '后轱辘不转前轱辘转'}
{'评论时间': '2024-02-02 17:10:27', 'IP属地': '上海', '评论内容': '摩擦力本来就小了  还这么猛踩油门不打滑才怪呢'}
{'评论时间': '2024-02-02 23:42:30', 'IP属地': '广东', '评论内容': '这回是真的高冷了'}
{'评论时间': '2024-02-02 21:13:40', 'IP属地': '湖北', '评论内容': '东北的兄弟，在湖北冷哭没有'}
{'评论时间': '2024-02-02 17:01:17', 'IP属地': '安徽', '评论内容': '前轱辘转，后轱辘不转。阿思密达'}
{'评论时间': '2024-02-02 19:43:54', 'IP属地': '黑龙江', '评论内容': '冬天还得这玩意 真好使 夏天开的少 冬天只开斯巴鲁'}
{'评论时间': '2024-02-02 17:46:52', 'IP属地': '广东', '评论内容': '走路比它还快'}
{'评论时间': '2024-02-02 12:38:03', 'IP属地': '上海', '评论内容': '终于知道什么是冻雨了'}
{'评论时间': '2024-02-02 15:57:34', 'IP属地': '湖北', '评论内容': '冻雨比下雪都厉害'}
{'评论时间': '2024-02-02 16:32:54', 'IP属地': '新疆', '评论内容': '为啥不换雪地胎，防滑链'}
{'评论时间': '2024-02-02 16:08:43', 'IP属地': '湖北', '评论内容': '前驱'}
{'评论时间': '2024-02-02 13:14:42', 'IP属地': '浙江', '评论内容': '12年冻雨高速上开了3个小时跑了50公里'}
{'评论时间': '2024-02-02 16:34:36', 'IP属地': '湖北', '评论内容': '不开车会死？？？？'}
