{'评论时间': '2024-02-03 22:47:23', 'IP属地': '湖北', '评论内容': '谁懂啊，东西湖又又又下冻雨了。'}
{'评论时间': '2024-02-03 08:26:07', 'IP属地': '湖北', '评论内容': '我大清早打不到车，走了2.2公里到的高铁站'}
{'评论时间': '2024-02-03 23:26:40', 'IP属地': '湖北', '评论内容': '武汉到底哪里有雪没见到一点冰都没有'}
{'评论时间': '2024-02-03 18:56:45', 'IP属地': '湖北', '评论内容': '高级'}
{'评论时间': '2024-02-03 23:42:58', 'IP属地': '河南', '评论内容': '今天的动车的基本都晚点了，有的晚点几百分钟，还好我的晚点未定普通车最后晚点了一个小时，但也走了。现在到家了'}
{'评论时间': '2024-02-03 22:49:12', 'IP属地': '湖北', '评论内容': '没想到湖北出圈是靠高冷和冻雨'}
{'评论时间': '2024-02-03 11:50:15', 'IP属地': '湖北', '评论内容': '后轱辘不转前轱辘转斯拉斯拉滴'}
{'评论时间': '2024-02-03 20:39:14', 'IP属地': '湖南', '评论内容': '这隐藏得有点深啊'}
{'评论时间': '2024-02-03 15:43:44', 'IP属地': '湖北', '评论内容': '反人类设计'}
{'评论时间': '2024-02-03 23:34:31', 'IP属地': '湖北', '评论内容': '武汉的冻雨'}
{'评论时间': '2024-02-03 21:19:17', 'IP属地': '湖北', '评论内容': '2月1号连夜从武汉跑回家了'}
{'评论时间': '2024-02-03 22:00:10', 'IP属地': '辽宁', '评论内容': '这才是地道的反人类设计。'}
{'评论时间': '2024-02-03 18:39:17', 'IP属地': '河北', '评论内容': '中国人的设计头脑确实有问题'}
{'评论时间': '2024-02-03 21:36:30', 'IP属地': '湖南', '评论内容': '常见的都打不开何况这种'}
{'评论时间': '2024-02-03 23:52:45', 'IP属地': '湖北', '评论内容': '湖北的雪'}
{'评论时间': '2024-02-03 11:52:13', 'IP属地': '湖北', '评论内容': '冷冷的冰雨在脸上胡乱的拍！你没听过刘德华的歌吗？'}
{'评论时间': '2024-02-03 19:08:31', 'IP属地': '广东', '评论内容': '这可是可以减少风阻的设计啊，也拉风'}
{'评论时间': '2024-02-03 04:27:13', 'IP属地': '湖北', '评论内容': '我们老家那边叫结了钢豆。过去房檐瓦下，下雪留下的水。迅速冻住了。长最长的有1m多长？可以长到碗口大小。'}
{'评论时间': '2024-02-03 23:15:54', 'IP属地': '湖北', '评论内容': '我总不能说黄石还没下雪吧'}
{'评论时间': '2024-02-03 12:21:25', 'IP属地': '四川', '评论内容': '司机：大哥，你看我轮胎动没？交警：前轱辘转，后轱辘的不转的思密达'}
{'评论时间': '2024-02-03 17:45:09', 'IP属地': '北京', '评论内容': '湖北给您免费贴了一个透明🫥车模'}
{'评论时间': '2024-02-03 19:53:18', 'IP属地': '黑龙江', '评论内容': '没有热水，这是拿里热水都比车门锁贵'}
{'评论时间': '2024-02-03 18:14:08', 'IP属地': '湖北', '评论内容': '这么好的车，不配拥有个车库吗？'}
{'评论时间': '2024-02-03 18:39:03', 'IP属地': '江苏', '评论内容': '隐藏门把手最初设计是用在跑车上的，设计师认为开跑车的人肯定有个自己的车库。没想到，被下放到没有车库的车身上了'}
{'评论时间': '2024-02-03 15:35:18', 'IP属地': '甘肃', '评论内容': '公里数➕1000'}
{'评论时间': '2024-02-03 09:00:24', 'IP属地': '广东', '评论内容': '过年了穿个皮肤'}
{'评论时间': '2024-02-03 23:34:20', 'IP属地': '江苏', '评论内容': '去高速上铲铲雪吧，俺姐一家人都堵在高速上了'}
{'评论时间': '2024-02-03 19:27:14', 'IP属地': '山西', '评论内容': '那些老牌汽车当初设计的时候难道没想过吗？'}
{'评论时间': '2024-02-03 21:22:45', 'IP属地': '湖北', '评论内容': '湖北用高冷留人，留不住就硬留'}
{'评论时间': '2024-02-03 21:16:07', 'IP属地': '天津', '评论内容': '之前北方有这情况大家都说南方可以'}
{'评论时间': '2024-02-03 19:52:53', 'IP属地': '广东', '评论内容': '湖北河南中转高铁飞机有些停运了，希望天气能立马好转，后面大家顺顺利利回家过年'}
{'评论时间': '2024-02-03 09:08:48', 'IP属地': 'IP未知', '评论内容': '我们大湖北很少下冻雨的！'}
{'评论时间': '2024-02-03 11:54:16', 'IP属地': '河南', '评论内容': '前几天下冻雨我儿子看见说，妈妈你看车都冻得流大鼻涕了'}
{'评论时间': '2024-02-03 23:16:45', 'IP属地': '湖北', '评论内容': '别叫这个天气还得赶去学校呢'}
{'评论时间': '2024-02-03 23:08:33', 'IP属地': '湖北', '评论内容': '8.20从苏州到湖北恩施，本应该5点多到站的，现在还在车上，没座位，熬了十几个小时了，30迈的速度、几点到还是个未知数'}
{'评论时间': '2024-02-03 22:55:32', 'IP属地': '湖北', '评论内容': '我现在呆的武汉是假的吧'}
{'评论时间': '2024-02-03 22:05:24', 'IP属地': '河南', '评论内容': '黑龙江有冻梨，湖北有冻雨'}
{'评论时间': '2024-02-03 09:00:36', 'IP属地': '广东', '评论内容': '湖北的冷是物理加魔方'}
{'评论时间': '2024-02-03 23:53:03', 'IP属地': '贵州', '评论内容': '还好今天回来啦，武汉机场飞机全部延误，在飞机上等了几个小时'}
{'评论时间': '2024-02-03 23:21:10', 'IP属地': '福建', '评论内容': '今年又要从湖北开始'}
{'评论时间': '2024-02-03 12:02:48', 'IP属地': '浙江', '评论内容': '看来我们湖北省是真的高冷'}
{'评论时间': '2024-02-03 22:24:04', 'IP属地': '湖北', '评论内容': '我爸早几天就给我打电话说三四号下雪，早点回来。还好2号机票便宜，要是后面几天便宜，我的飞机可能落地都难了'}
{'评论时间': '2024-02-03 20:31:18', 'IP属地': '湖南', '评论内容': '提壶热水不就可以了吗'}
{'评论时间': '2024-02-03 21:50:52', 'IP属地': '山西', '评论内容': '设计缺陷，明年车企就都改了'}
{'评论时间': '2024-02-03 23:18:51', 'IP属地': '江西', '评论内容': '还是我大湖北给力'}
{'评论时间': '2024-02-03 19:44:02', 'IP属地': '湖北', '评论内容': '高速能除冰雪嘛'}
{'评论时间': '2024-02-03 12:33:44', 'IP属地': '湖北', '评论内容': '咱不知道，你们湖北的天漏了好像，天天下雨，下个没完了…'}
{'评论时间': '2024-02-03 11:53:18', 'IP属地': '湖北', '评论内容': '那年在高速上堵着，油耗没了'}
{'评论时间': '2024-02-03 21:49:04', 'IP属地': '湖北', '评论内容': '武汉总比别的地方巧些'}
{'评论时间': '2024-02-03 21:04:29', 'IP属地': '安徽', '评论内容': '谁设计的'}
{'评论时间': '2024-02-03 07:20:32', 'IP属地': '湖北', '评论内容': '什么天气'}
{'评论时间': '2024-02-03 13:43:13', 'IP属地': '湖北', '评论内容': '早上起来上班 走一路滑一路'}
{'评论时间': '2024-02-03 20:10:15', 'IP属地': '广东', '评论内容': '在回武汉的车上了，希望一路顺畅'}
{'评论时间': '2024-02-03 08:56:36', 'IP属地': '湖北', '评论内容': '下雪了呀'}
{'评论时间': '2024-02-03 22:51:57', 'IP属地': '山东', '评论内容': '这个设计关键时候会掉链子坏事'}
{'评论时间': '2024-02-03 23:26:19', 'IP属地': '湖北', '评论内容': '古田桥上今天早上还有扫地机在作业真奇葩'}
{'评论时间': '2024-02-03 23:48:31', 'IP属地': '山西', '评论内容': '这么贵的车咋不买个车库？'}
{'评论时间': '2024-02-03 15:09:25', 'IP属地': '北京', '评论内容': '北京往南走的高铁很多晚点'}
{'评论时间': '2024-02-03 23:14:48', 'IP属地': '湖北', '评论内容': '明天中午的高铁咋办'}
{'评论时间': '2024-02-03 08:54:45', 'IP属地': '湖北', '评论内容': '正儿八经体会到了冷冷的冰雨在脸上胡乱的拍'}
{'评论时间': '2024-02-03 11:14:14', 'IP属地': '湖北', '评论内容': '湖北特产，与众不同的冰糖葫芦，这勾芡到位吧'}
{'评论时间': '2024-02-03 19:20:25', 'IP属地': '上海', '评论内容': '脑残的隐藏式手把设计'}
{'评论时间': '2024-02-03 19:41:02', 'IP属地': '湖北', '评论内容': '在湖北…我在找东北人问你们那边管这个叫什么？在湖北生活二十多年了…这情况我也第一次见啊'}
{'评论时间': '2024-02-03 18:49:10', 'IP属地': '浙江', '评论内容': '高科技'}
{'评论时间': '2024-02-03 19:20:34', 'IP属地': '广东', '评论内容': '浇开水'}
{'评论时间': '2024-02-03 12:28:51', 'IP属地': '湖北', '评论内容': '作为山东人，在武汉出差十天冻成冰狗了'}
{'评论时间': '2024-02-03 07:28:32', 'IP属地': '湖北', '评论内容': '关键是开出去了以后停下来你开不了车门，车门又重新冻上了人都出不来'}
{'评论时间': '2024-02-03 21:46:44', 'IP属地': '江苏', '评论内容': '反人类设计'}
{'评论时间': '2024-02-03 12:07:34', 'IP属地': '四川', '评论内容': '这就是传说中的后轱辘不转前轱辘转'}
{'评论时间': '2024-02-03 21:53:19', 'IP属地': '湖北', '评论内容': '荆州下暴雨了'}
{'评论时间': '2024-02-03 12:35:47', 'IP属地': '贵州', '评论内容': '服了 一回家武汉就下雪'}
{'评论时间': '2024-02-03 23:03:17', 'IP属地': '北京', '评论内容': '湖北加油加油加油'}
{'评论时间': '2024-02-03 23:00:09', 'IP属地': '湖北', '评论内容': '不知道冻雨的  看这图  雨落下就立马结冰  湖北现在是个巨大的冰糖葫芦'}
{'评论时间': '2024-02-03 08:20:37', 'IP属地': '湖南', '评论内容': '这个跑法，行程公里数会计数吗'}
{'评论时间': '2024-02-03 19:25:22', 'IP属地': '湖南', '评论内容': '现在才知道这门把手设计真的扣门'}
{'评论时间': '2024-02-03 00:14:31', 'IP属地': '湖北', '评论内容': '今天一天冻雨。早上骑车上班十字路口摔了一跤'}
{'评论时间': '2024-02-03 11:44:37', 'IP属地': '河南', '评论内容': '冻雨还要下几天呢'}
{'评论时间': '2024-02-03 11:34:02', 'IP属地': '浙江', '评论内容': '冰糖葫芦汽车馅'}
{'评论时间': '2024-02-03 20:35:15', 'IP属地': '山东', '评论内容': '热水'}
{'评论时间': '2024-02-03 21:21:06', 'IP属地': '山西', '评论内容': '这才是设计的初衷'}
{'评论时间': '2024-02-03 21:02:32', 'IP属地': '广东', '评论内容': '什么车门还不如面包车好开。'}
{'评论时间': '2024-02-03 23:07:41', 'IP属地': '广东', '评论内容': '现在确认了隐藏式的没那么好用了吧'}
{'评论时间': '2024-02-03 17:03:32', 'IP属地': '湖北', '评论内容': '湖北还是比较高冷'}
{'评论时间': '2024-02-03 20:08:21', 'IP属地': '广东', '评论内容': '后悔了吧！没脑设计，加没脑的人。'}
{'评论时间': '2024-02-03 23:30:34', 'IP属地': '湖北', '评论内容': '下雪了'}
{'评论时间': '2024-02-03 15:18:55', 'IP属地': '湖北', '评论内容': '我8号回去希望不要影响到我，不要阻止我回家'}
{'评论时间': '2024-02-03 22:11:21', 'IP属地': '天津', '评论内容': '隐藏式门把手自动加热系统，安排上'}
{'评论时间': '2024-02-03 18:09:21', 'IP属地': '湖北', '评论内容': '幸好我有地下车库'}
{'评论时间': '2024-02-03 20:56:06', 'IP属地': '湖北', '评论内容': '一泡尿什么都可以解决的'}
{'评论时间': '2024-02-03 15:30:05', 'IP属地': '湖北', '评论内容': '明天还要下雪'}
