{'评论时间': '2024-02-04 18:54:49', 'IP属地': '安徽', '评论内容': '致敬武汉融雪除冰人，你们辛苦了！'}
{'评论时间': '2024-02-04 21:22:51', 'IP属地': '湖北', '评论内容': '是的，湖北有付出'}
{'评论时间': '2024-02-04 18:03:50', 'IP属地': '湖南', '评论内容': '鄂鄂辛苦了'}
{'评论时间': '2024-02-04 18:22:12', 'IP属地': '安徽', '评论内容': '为什么湖北要挨骂啊'}
{'评论时间': '2024-02-04 21:23:10', 'IP属地': '湖北', '评论内容': '各位北方的朋友，湖北没暖气，靠一身正气'}
{'评论时间': '2024-02-04 23:49:22', 'IP属地': '重庆', '评论内容': '咱就说绿皮火车能不能翻新一下'}
{'评论时间': '2024-02-04 15:56:01', 'IP属地': '湖北', '评论内容': '这是天灾不要骂鄂鄂'}
{'评论时间': '2024-02-04 17:12:01', 'IP属地': '湖北', '评论内容': '有经验的湖北人没锁车门'}
{'评论时间': '2024-02-04 12:07:11', 'IP属地': '湖北', '评论内容': '外地的老乡们，你们都不要从湖北走了，麻烦从别的省绕一下，你们再堵进去我真的回不去了'}
{'评论时间': '2024-02-04 12:50:16', 'IP属地': '湖北', '评论内容': '昨天那个雪扣都扣不起来'}
{'评论时间': '2024-02-04 08:01:24', 'IP属地': '湖北', '评论内容': '把高速安排上，二广高速堵的毫无进展'}
{'评论时间': '2024-02-04 03:10:50', 'IP属地': '湖北', '评论内容': '我不信，我为啥还在武汉漂移'}
{'评论时间': '2024-02-04 14:27:26', 'IP属地': '湖北', '评论内容': '昨天就是等这个铲雪车堵了5个多小时'}
{'评论时间': '2024-02-04 17:33:03', 'IP属地': '湖北', '评论内容': '简单给大家科普一下：第一：小雨小雪不怎么影响列车运行。第二：雨夹雪再遇上低温天气、或者冻雨天气对铁路运输影响较大。第三：钢轨其实受到的影响不大，最受影响的是接触网，所有的电力机车全是靠接触网供电的，遇有雨夹雪或冻雨，直接就在接触网上结冰了，电力机车取流不畅，接触网无法正常给电力机车提供电能，轻则是列车无法常速运行，重则烧损部件无法行驶。第四：铁路接触网是 27.5kV 高压电路，而且是裸露导线，距离较近就会放电伤人，就算是让铁路职工上线路打冰，也需要在接触网停电后进行打冰，上千公里的线路，应急抢修也需要时间的。他们比你们更不希望半夜三更冒着寒风出去打冰，但是天气属实不可控，也请理解他们。第五：为了应对恶劣天气，很多铁路单位全员上岗，全员值班，做好抢修应急，但抢修不是说话间就能抢通，也需要时间，也需要顺线路奔波，沿线抢修。第六：铁路对不起的是他的职工，但绝对拼尽全力对得起旅客。互相理解吧，衷心祝愿各位旅途平安，安全是第一位。'}
{'评论时间': '2024-02-04 18:10:15', 'IP属地': '湖北', '评论内容': '这个视频出湖北了吗'}
{'评论时间': '2024-02-04 11:44:53', 'IP属地': '湖北', '评论内容': '啊，是大雪啊'}
{'评论时间': '2024-02-04 20:00:42', 'IP属地': '湖北', '评论内容': '可是这是天灾啊'}
{'评论时间': '2024-02-04 19:59:24', 'IP属地': '湖北', '评论内容': '2008年湖北下雪湖南下冻雨！2024河南下雪湖北下冻雨'}
{'评论时间': '2024-02-04 08:15:35', 'IP属地': '湖北', '评论内容': '看看东西湖好吗？唉，打不到的士挤不上公交，在走路上班'}
{'评论时间': '2024-02-04 17:49:27', 'IP属地': '湖北', '评论内容': '我们湖北街坊邻居都会把道路上的雪铲到一起。早上七点左右就看到很多人在路上撒工业盐，买菜去的路上都是雪回来就基本上化了一条路让骑车和人走。我们都在尽力的面对解决冻雨的问题'}
{'评论时间': '2024-02-04 18:14:59', 'IP属地': '陕西', '评论内容': '不许骂，谁都不想这样，没办法'}
{'评论时间': '2024-02-04 00:54:11', 'IP属地': '湖南', '评论内容': '希望人人回家都平平安安的'}
{'评论时间': '2024-02-04 22:38:02', 'IP属地': '重庆', '评论内容': '武汉真的是夏天热 冬天也冷啊，重庆冬天主城都不下雪'}
{'评论时间': '2024-02-04 21:16:25', 'IP属地': '福建', '评论内容': '太辛苦了，一定要注意安全'}
{'评论时间': '2024-02-04 22:45:18', 'IP属地': '湖北', '评论内容': '我们小区的树也是断了一晚上'}
{'评论时间': '2024-02-04 23:28:02', 'IP属地': '广东', '评论内容': '希望大家都能平平安安'}
{'评论时间': '2024-02-04 17:11:32', 'IP属地': '浙江', '评论内容': '啊？湖北怎么变成大冰糖葫芦了'}
{'评论时间': '2024-02-04 22:00:44', 'IP属地': '福建', '评论内容': '第一次听说冻雨？长啥样'}
{'评论时间': '2024-02-04 20:16:17', 'IP属地': '湖北', '评论内容': '冻雨让这些树都结了冰，树枝承受不了重量，武汉现在到处都是散落在地上压断的树枝，而且走在路上还要看着点头上的树，时不时那些被压的承受不了的树枝就会掉下来，现在晚上睡觉听到外面轰隆一声就是树倒了'}
{'评论时间': '2024-02-04 18:50:16', 'IP属地': '河南', '评论内容': '夸我河南可以，踩湖北算怎么回事儿啊'}
{'评论时间': '2024-02-04 15:44:27', 'IP属地': '湖北', '评论内容': '那些骂湖北的都是汉奸吧'}
{'评论时间': '2024-02-04 17:59:41', 'IP属地': '四川', '评论内容': '只能说武汉加油！'}
{'评论时间': '2024-02-04 15:40:57', 'IP属地': '河北', '评论内容': '冻雨'}
{'评论时间': '2024-02-04 06:18:42', 'IP属地': '浙江', '评论内容': '是雪和雨一起下就是冻雨吗'}
{'评论时间': '2024-02-04 13:33:08', 'IP属地': '湖北', '评论内容': '别下雪了，我家周围的树被雪压倒了'}
{'评论时间': '2024-02-04 19:32:21', 'IP属地': '安徽', '评论内容': '我不是很懂什么是冻雨，但是看着就很辛苦，被骂还是要努力，我不是很理解，他们也很累呀，都要过年了，不能在家陪家人，还这么辛苦，都是为了大家啊，我不理解，而且天还这么冷'}
{'评论时间': '2024-02-04 18:31:06', 'IP属地': '广东', '评论内容': '我们昨天高铁的时候到武汉站花了快两个小时'}
{'评论时间': '2024-02-04 22:10:02', 'IP属地': '湖北', '评论内容': '高铁我原谅了 南航原谅不了'}
{'评论时间': '2024-02-04 12:48:57', 'IP属地': '湖北', '评论内容': '不开玩笑，大早上打了两个小时车打不到，九十块七公里都没人接'}
{'评论时间': '2024-02-04 23:41:59', 'IP属地': '上海', '评论内容': '白皮火车'}
{'评论时间': '2024-02-04 19:23:46', 'IP属地': '湖南', '评论内容': '不准再说我的湖北老表'}
{'评论时间': '2024-02-04 17:48:35', 'IP属地': '浙江', '评论内容': '这是天灾，又不是人为的，为什么要骂？不允许骂，凭什么骂'}
{'评论时间': '2024-02-04 18:23:16', 'IP属地': '湖北', '评论内容': '冻雨就是所有户外的一切都成了冰糖葫芦，全都贴个膜'}
{'评论时间': '2024-02-04 11:13:36', 'IP属地': '湖北', '评论内容': '我们这又是雪又是冻雨'}
{'评论时间': '2024-02-04 12:03:54', 'IP属地': '湖北', '评论内容': '希望各位网友不要喷我们大湖北，这是天灾，我所在十八线小城市交通都停运了，连我们小区的车棚都被雪压塌了，大家没有抱怨都是自发的铲雪，出现问题不要乱发泄，解决问题才是关键，祝愿大家平安健康'}
{'评论时间': '2024-02-04 19:30:47', 'IP属地': '湖北', '评论内容': '小区里都是断了的树枝'}
{'评论时间': '2024-02-04 20:21:11', 'IP属地': '江苏', '评论内容': '唉湖北这两年怎么这么多天灾啊，希望大家都平安'}
{'评论时间': '2024-02-04 12:20:50', 'IP属地': '湖北', '评论内容': '昨天在下拼碴子，现在在下正宗的雪'}
{'评论时间': '2024-02-04 13:44:36', 'IP属地': '河南', '评论内容': '不能骂人，看天气出门。我都跟父母说可能不回去了'}
{'评论时间': '2024-02-04 18:32:08', 'IP属地': '湖北', '评论内容': '武汉的人早期盼下雪，这下好了又怕了。'}
{'评论时间': '2024-02-04 17:44:51', 'IP属地': '安徽', '评论内容': '别骂俺老表'}
{'评论时间': '2024-02-04 19:32:26', 'IP属地': '广东', '评论内容': '作为一个广东人，为湖北发声，希望大家理解一点，湖北不经常下雪，铲雪车少很正常，这次湖北下的是冻雨，和正常的雪不一样，雪好处理，冻雨难处理，希望大家理解。希望湖北人民给我发个老婆'}
{'评论时间': '2024-02-04 16:38:39', 'IP属地': '湖北', '评论内容': '早上从雪中刨出来的，刨了好大一个坑，完全不知道菜在哪里了'}
{'评论时间': '2024-02-04 18:58:34', 'IP属地': '浙江', '评论内容': '不许骂我老表！！！'}
{'评论时间': '2024-02-04 23:54:08', 'IP属地': '湖北', '评论内容': '我都不敢走树底下，今晚回来亲眼看到对面的树在我面前倒下我才知道这是很严重的，早上出门的时候看到很粗的树都断了我以为是物业砍断的'}
{'评论时间': '2024-02-04 17:35:20', 'IP属地': '湖北', '评论内容': '为什么要骂湖北，这是天灾啊'}
{'评论时间': '2024-02-04 18:50:52', 'IP属地': '广西', '评论内容': '打开地图武汉周边交通瘫痪了'}
{'评论时间': '2024-02-04 10:00:06', 'IP属地': '广东', '评论内容': '高速需要除一下冰雪，孝感段和麻城段，路过的回乡游子需要你们'}
{'评论时间': '2024-02-04 17:58:58', 'IP属地': '广东', '评论内容': '抢修的每一位工作人员真的辛苦了'}
{'评论时间': '2024-02-04 17:45:35', 'IP属地': '河南', '评论内容': '拒绝踩一捧一 谁不想交通赶紧复苏 都在努力扫雪破冰 有时候天灾也没办法 '}
{'评论时间': '2024-02-04 23:35:56', 'IP属地': '湖北', '评论内容': '冻雨是天灾，没人关心湖北受灾了，好多人还都在骂湖北不清雪，湖北也不想要冻雨啊！湖北又控制不了天气！冻雨是雨从天上落下来遇到地面就成冰，撒的盐融雪剂没化开就冻住了，化开成水一样冻住，如果有人自认可以解决天灾，求求您赶快来解救苦难的大众，做不到就不要拿起键盘就骂湖北，作为一名湖北人我真的感到很委屈'}
{'评论时间': '2024-02-04 10:55:31', 'IP属地': '广东', '评论内容': '我在广东深圳还穿短袖'}
{'评论时间': '2024-02-04 23:10:19', 'IP属地': '湖南', '评论内容': '不要怪湖南湖北呀宝贝们'}
{'评论时间': '2024-02-04 11:54:43', 'IP属地': '河南', '评论内容': '武汉冻雨太烦人了我回家的车晚点了五个多小时在车上站了七个小时'}
{'评论时间': '2024-02-04 16:19:39', 'IP属地': '湖北', '评论内容': '你们东北洗头发出来才结冰带雪花，我们是直接头发搞进去拿出来，直接冰溜子的，掉掉的那种'}
{'评论时间': '2024-02-04 17:08:46', 'IP属地': '湖南', '评论内容': '湖南也是'}
