{'评论时间': '2024-02-07 21:33:04', 'IP属地': '湖南', '评论内容': '不都是中国人吗？为什么天灾也要骂，那些传统美德都哪去了'}
{'评论时间': '2024-02-07 01:10:23', 'IP属地': '陕西', '评论内容': '作为北方地下车库的车主表示从来不担心会这样'}
{'评论时间': '2024-02-07 16:34:14', 'IP属地': '湖北', '评论内容': '别的我不说，我只说我家阳台上的。我们荆州下雪下的少，基本上都是小冰雹，边下边化边冻，就成糖葫芦了'}
{'评论时间': '2024-02-07 14:12:41', 'IP属地': '山东', '评论内容': '就是雨夹雪，非要说冻雨，上次下雪我德州也是这么除雪的'}
{'评论时间': '2024-02-07 12:02:44', 'IP属地': '江苏', '评论内容': '还得是混动车或油车放心跑'}
{'评论时间': '2024-02-07 01:00:23', 'IP属地': '广东', '评论内容': '其实湖北各方面比很多城市都要好'}
{'评论时间': '2024-02-07 22:35:19', 'IP属地': '重庆', '评论内容': '跟几年前突如其来的疫情一样 全国驰援武汉'}
{'评论时间': '2024-02-07 05:03:44', 'IP属地': '吉林', '评论内容': '湖北的朋友们 抱抱'}
{'评论时间': '2024-02-07 11:31:11', 'IP属地': '广东', '评论内容': '我有结节，评论我就不看了，赶紧跑'}
{'评论时间': '2024-02-07 19:02:26', 'IP属地': '湖北', '评论内容': '湖北人：早上铲冰，中午铲冰，晚上铲冰，半夜回来了打开网一看：你怎么不去铲雪？'}
{'评论时间': '2024-02-07 07:02:56', 'IP属地': '辽宁', '评论内容': '冻雨知道不，下来就直接冻住了  怎么边下边清  ，半夜清不睡觉吗'}
{'评论时间': '2024-02-07 20:33:12', 'IP属地': '云南', '评论内容': '过个桥跟冒着炮火一样有没有打战的感觉'}
{'评论时间': '2024-02-07 12:12:00', 'IP属地': '美国', '评论内容': '这有啥不懂的 去东北任何一条不及时清理的小胡同都有机会能看见这样冻住的路面 就是清理不及时 想让老天爷背锅'}
{'评论时间': '2024-02-07 13:55:49', 'IP属地': '江苏', '评论内容': '江苏为什么除雪迅速？因为他们没有下冻雨！'}
{'评论时间': '2024-02-07 00:12:47', 'IP属地': '内蒙古', '评论内容': '北方也遭灾了，满大街单身恶狗，我妈刚把我也赶出来了'}
{'评论时间': '2024-02-07 20:07:08', 'IP属地': '山东', '评论内容': '不看天气预报么？ 知道有雪不提前下高速'}
{'评论时间': '2024-02-07 01:03:51', 'IP属地': '河南', '评论内容': '支持湖北'}
{'评论时间': '2024-02-07 15:57:18', 'IP属地': '山东', '评论内容': '山东下的不大，六七公分，早上起来公路一点雪没有，提前三四天全部准备完毕，一边下雪一边化雪'}
{'评论时间': '2024-02-07 17:38:04', 'IP属地': '天津', '评论内容': '加油'}
{'评论时间': '2024-02-07 12:41:17', 'IP属地': '安徽', '评论内容': '油车开不起吗？平时不开就过年回家开一次也香'}
{'评论时间': '2024-02-07 18:50:49', 'IP属地': '湖北', '评论内容': '谢谢你为我们湖北发声，我们所有企事业单位全部到现场铲雪，责任包干制，不铲完不回家，极端天气不是我们的错，但是我们一直在行动'}
{'评论时间': '2024-02-07 09:51:12', 'IP属地': '安徽', '评论内容': '为什么武汉没有电动单车'}
{'评论时间': '2024-02-07 12:16:37', 'IP属地': '内蒙古', '评论内容': '评论区的别说了，人家等着过两天升温自己化呢'}
{'评论时间': '2024-02-07 11:55:53', 'IP属地': '浙江', '评论内容': '电车没电，油车也没油啊，30个小时油车能不耗油'}
{'评论时间': '2024-02-07 15:09:55', 'IP属地': '广东', '评论内容': '这是雪碰到水车一压形成的冰好不好，你忽悠南方朋友还可以北方朋友你就算了'}
{'评论时间': '2024-02-07 21:42:46', 'IP属地': '安徽', '评论内容': '武汉加油'}
