{'评论时间': '2024-02-09 17:01:39', 'IP属地': '安徽', '评论内容': '感动了'}
{'评论时间': '2024-02-09 12:34:23', 'IP属地': '湖北', '评论内容': '嗯嗯，我们湖北人在这种情况下已经开始骂了'}
{'评论时间': '2024-02-09 04:07:45', 'IP属地': '新疆', '评论内容': '加油湖北'}
{'评论时间': '2024-02-09 14:26:04', 'IP属地': '江苏', '评论内容': '上冻了吧？这种车把，就是不好。 我把车子都卖了。'}
{'评论时间': '2024-02-09 07:42:59', 'IP属地': '陕西', '评论内容': '刚起床就被湖北人科普'}
{'评论时间': '2024-02-09 00:40:06', 'IP属地': '河北', '评论内容': '这视频整得我都不知道啥叫骂了'}
{'评论时间': '2024-02-09 08:12:35', 'IP属地': '河南', '评论内容': '此视频，直接干掉比亚迪百分之七十的客户'}
{'评论时间': '2024-02-09 16:05:12', 'IP属地': '山东', '评论内容': '不愧是土特产冻雨还整上活了'}
{'评论时间': '2024-02-09 15:37:40', 'IP属地': '广东', '评论内容': '鄂鄂加油不怕不怕我们是华夏一家人抱抱'}
{'评论时间': '2024-02-09 04:10:28', 'IP属地': '福建', '评论内容': '武汉回郑州过年，然后又到广州在坐火车，到武汉'}
{'评论时间': '2024-02-09 00:18:47', 'IP属地': '上海', '评论内容': '先降雪后升温 没有及时清理就会有这个。北方也挺常见。冬天到春天之间经常有'}
{'评论时间': '2024-02-09 06:33:03', 'IP属地': '广东', '评论内容': '应该把雨水摇下来，自然不结冰'}
{'评论时间': '2024-02-09 22:42:13', 'IP属地': '四川', '评论内容': '我在成都的天街被感动得流泪了'}
{'评论时间': '2024-02-09 08:15:33', 'IP属地': '河南', '评论内容': '只能说只有湖北被冻雨打了个措手不及，而不是其他省份都拿冻雨没办法'}
{'评论时间': '2024-02-09 10:53:03', 'IP属地': '河南', '评论内容': '这还在科普？真是服了嘴是真硬啊'}
{'评论时间': '2024-02-09 12:17:49', 'IP属地': '湖北', '评论内容': '冻雨加大雪🌨️危害太大了'}
{'评论时间': '2024-02-09 21:23:37', 'IP属地': '山西', '评论内容': '湖北人嘴真硬'}
{'评论时间': '2024-02-09 13:15:47', 'IP属地': '湖北', '评论内容': '确实是啊，这次冻雪，压断了不少的树的'}
{'评论时间': '2024-02-09 08:21:32', 'IP属地': '浙江', '评论内容': '你们应该没日没夜的摇，地也应该没日没夜的扫，路政的24小时不能睡觉，这就是很多北方ID的意思'}
{'评论时间': '2024-02-09 01:12:22', 'IP属地': '湖北', '评论内容': '湖北人懂得感恩'}
{'评论时间': '2024-02-09 15:28:15', 'IP属地': '广东', '评论内容': '这是冻雨你骗下南方人算了别洗了在洗这地也是黑的'}
{'评论时间': '2024-02-09 14:03:33', 'IP属地': '山东', '评论内容': '冷冷的冰雨在脸上拍胡乱的'}
{'评论时间': '2024-02-09 02:19:16', 'IP属地': '湖北', '评论内容': '整个湖北都被着黄石下冻雨'}
{'评论时间': '2024-02-09 08:17:08', 'IP属地': '广西', '评论内容': '北方人见识真浅'}
{'评论时间': '2024-02-09 21:39:44', 'IP属地': '内蒙古', '评论内容': '北方人表示没见过'}
{'评论时间': '2024-02-09 12:22:55', 'IP属地': '河北', '评论内容': '老夫估计过几天，官方宣布南方某地高速在全体人员不间断的努力下，以畅通想为回家，返程的人员保驾护航，某某是红旗标兵'}
{'评论时间': '2024-02-09 11:50:00', 'IP属地': '山东', '评论内容': '冻雨是天灾，清理不了的，'}
{'评论时间': '2024-02-09 15:41:00', 'IP属地': '浙江', '评论内容': '感动'}
{'评论时间': '2024-02-09 00:23:23', 'IP属地': '北京', '评论内容': '传说中的冻雨下到地上瞬间六公分'}
{'评论时间': '2024-02-09 21:08:14', 'IP属地': '河南', '评论内容': '承认冻雨会结冰也是很优秀的'}
{'评论时间': '2024-02-09 08:53:30', 'IP属地': '山东', '评论内容': '头一次听说冻雨，和雨夹雪有啥不同嘛'}
{'评论时间': '2024-02-09 23:04:42', 'IP属地': '河北', '评论内容': '加油'}
{'评论时间': '2024-02-09 09:44:15', 'IP属地': '广东', '评论内容': '冻雨好像冰箱里的冰块一样'}
{'评论时间': '2024-02-09 06:07:42', 'IP属地': '四川', '评论内容': '湖北，辛苦了，湖北，加油＾０＾~'}
{'评论时间': '2024-02-09 08:09:22', 'IP属地': '陕西', '评论内容': '一下雪，小一点还好，雪厚了，管他还下不下，赶紧把车上的雪扫了，不然厚了不好扫，还容易冻住，天窗是扫的最积极的，就怕雪花了把胶条冻住了'}
{'评论时间': '2024-02-09 09:36:07', 'IP属地': '河南', '评论内容': '冷冷的冰雨在窗外胡乱的拍'}
{'评论时间': '2024-02-09 12:02:03', 'IP属地': '四川', '评论内容': '麻烦湖北的朋友别科普冻雨了，看看你们本地程力集团是干啥的'}
{'评论时间': '2024-02-09 10:26:24', 'IP属地': '湖南', '评论内容': '到底是哪些缺德的人在哪里🐎鄂鄂！！！快过年给自己积点德吧'}
{'评论时间': '2024-02-09 12:11:22', 'IP属地': '河南', '评论内容': '开始下的时候不清，等到路压成这个样子。到那到都不好清。'}
{'评论时间': '2024-02-09 15:11:15', 'IP属地': '广东', '评论内容': '不完美设计！加装一个热溶冰'}
{'评论时间': '2024-02-09 00:31:34', 'IP属地': '河南', '评论内容': '一莎泪目了，湖北一定行'}
