{'评论时间': '2024-02-09 17:01:39', 'IP属地': '安徽', '评论内容': '感动了'}
{'评论时间': '2024-02-09 12:34:23', 'IP属地': '湖北', '评论内容': '嗯嗯，我们湖北人在这种情况下已经开始骂了'}
{'评论时间': '2024-02-09 12:13:27', 'IP属地': '安徽', '评论内容': '我倒要看看到底是谁在骂'}
{'评论时间': '2024-02-09 04:07:45', 'IP属地': '新疆', '评论内容': '加油湖北'}
{'评论时间': '2024-02-09 17:54:55', 'IP属地': '广东', '评论内容': '所以说我家电车该咋回去？'}
{'评论时间': '2024-02-09 19:44:19', 'IP属地': '吉林', '评论内容': '干吧，铲就得了'}
{'评论时间': '2024-02-09 14:26:04', 'IP属地': '江苏', '评论内容': '上冻了吧？这种车把，就是不好。 我把车子都卖了。'}
{'评论时间': '2024-02-09 07:42:59', 'IP属地': '陕西', '评论内容': '刚起床就被湖北人科普'}
{'评论时间': '2024-02-09 20:44:51', 'IP属地': '广东', '评论内容': '一泡尿包行'}
{'评论时间': '2024-02-09 00:40:06', 'IP属地': '河北', '评论内容': '这视频整得我都不知道啥叫骂了'}
{'评论时间': '2024-02-09 08:12:35', 'IP属地': '河南', '评论内容': '此视频，直接干掉比亚迪百分之七十的客户'}
{'评论时间': '2024-02-09 16:05:12', 'IP属地': '山东', '评论内容': '不愧是土特产冻雨还整上活了'}
{'评论时间': '2024-02-09 15:37:40', 'IP属地': '广东', '评论内容': '鄂鄂加油不怕不怕我们是华夏一家人抱抱'}
{'评论时间': '2024-02-09 15:39:52', 'IP属地': '河南', '评论内容': '怪老天吧？就是我们的7.20。'}
{'评论时间': '2024-02-09 18:42:13', 'IP属地': '北京', '评论内容': '给我玩一会'}
{'评论时间': '2024-02-09 04:10:28', 'IP属地': '福建', '评论内容': '武汉回郑州过年，然后又到广州在坐火车，到武汉'}
{'评论时间': '2024-02-09 00:18:47', 'IP属地': '上海', '评论内容': '先降雪后升温 没有及时清理就会有这个。北方也挺常见。冬天到春天之间经常有'}
{'评论时间': '2024-02-09 06:33:03', 'IP属地': '广东', '评论内容': '应该把雨水摇下来，自然不结冰'}
{'评论时间': '2024-02-09 22:42:13', 'IP属地': '四川', '评论内容': '我在成都的天街被感动得流泪了'}
{'评论时间': '2024-02-09 08:15:33', 'IP属地': '河南', '评论内容': '只能说只有湖北被冻雨打了个措手不及，而不是其他省份都拿冻雨没办法'}
{'评论时间': '2024-02-09 10:53:03', 'IP属地': '河南', '评论内容': '这还在科普？真是服了嘴是真硬啊'}
{'评论时间': '2024-02-09 06:53:52', 'IP属地': '内蒙古', '评论内容': '你这是零下三十度吧'}
{'评论时间': '2024-02-09 00:46:23', 'IP属地': '浙江', '评论内容': '电车最省油，不接受反驳'}
{'评论时间': '2024-02-09 00:25:16', 'IP属地': '江苏', '评论内容': '我觉得这话谁看到都会生气'}
{'评论时间': '2024-02-09 12:17:49', 'IP属地': '湖北', '评论内容': '冻雨加大雪🌨️危害太大了'}
{'评论时间': '2024-02-09 15:57:14', 'IP属地': '广西', '评论内容': '冰铲铲'}
{'评论时间': '2024-02-09 21:23:37', 'IP属地': '山西', '评论内容': '湖北人嘴真硬'}
{'评论时间': '2024-02-09 14:23:23', 'IP属地': '湖北', '评论内容': '怎么我们这边雪化了'}
{'评论时间': '2024-02-09 17:16:11', 'IP属地': '北京', '评论内容': '有地库真香'}
{'评论时间': '2024-02-09 13:15:47', 'IP属地': '湖北', '评论内容': '确实是啊，这次冻雪，压断了不少的树的'}
{'评论时间': '2024-02-09 08:21:32', 'IP属地': '浙江', '评论内容': '你们应该没日没夜的摇，地也应该没日没夜的扫，路政的24小时不能睡觉，这就是很多北方ID的意思'}
{'评论时间': '2024-02-09 01:12:22', 'IP属地': '湖北', '评论内容': '湖北人懂得感恩'}
{'评论时间': '2024-02-09 02:36:44', 'IP属地': '湖北', '评论内容': '当时我就去网吧包了个夜，一出来感觉穿越到冰河世纪里面了'}
{'评论时间': '2024-02-09 16:50:18', 'IP属地': '河南', '评论内容': '我老公村子里的竹子都扒地上了。我嫌冷。没去扒拉'}
{'评论时间': '2024-02-09 02:28:45', 'IP属地': '湖北', '评论内容': '搞个屁都回家吃火锅'}
{'评论时间': '2024-02-09 10:50:03', 'IP属地': '浙江', '评论内容': '别害怕浙浙保护你们'}
{'评论时间': '2024-02-09 08:39:38', 'IP属地': '山东', '评论内容': '小米14'}
{'评论时间': '2024-02-09 14:11:58', 'IP属地': '天津', '评论内容': '天津看到了'}
{'评论时间': '2024-02-09 15:28:15', 'IP属地': '广东', '评论内容': '这是冻雨你骗下南方人算了别洗了在洗这地也是黑的'}
{'评论时间': '2024-02-09 00:21:01', 'IP属地': '河南', '评论内容': '出混动版'}
{'评论时间': '2024-02-09 12:25:42', 'IP属地': '北京', '评论内容': '河北看到了'}
{'评论时间': '2024-02-09 13:26:13', 'IP属地': '广东', '评论内容': '冷知识：寒假还有11天'}
{'评论时间': '2024-02-09 14:03:33', 'IP属地': '山东', '评论内容': '冷冷的冰雨在脸上拍胡乱的'}
{'评论时间': '2024-02-09 02:19:16', 'IP属地': '湖北', '评论内容': '整个湖北都被着黄石下冻雨'}
{'评论时间': '2024-02-09 07:05:56', 'IP属地': '湖北', '评论内容': '我点赞转发，助主持人主播出省'}
{'评论时间': '2024-02-09 05:08:40', 'IP属地': '湖北', '评论内容': '大多都是湘湘赣赣和贵贵帮我们说话'}
{'评论时间': '2024-02-09 08:17:08', 'IP属地': '广西', '评论内容': '北方人见识真浅'}
{'评论时间': '2024-02-09 18:57:35', 'IP属地': '湖北', '评论内容': '谢谢您的理解，真的是惨不忍睹'}
{'评论时间': '2024-02-09 14:38:58', 'IP属地': '重庆', '评论内容': '这样的，可以在热带史用，寒冷的地方冬天就会冻住，'}
{'评论时间': '2024-02-09 03:19:24', 'IP属地': '贵州', '评论内容': '我是贵州的，给你满油，给我铲'}
{'评论时间': '2024-02-09 21:39:44', 'IP属地': '内蒙古', '评论内容': '北方人表示没见过'}
{'评论时间': '2024-02-09 12:22:55', 'IP属地': '河北', '评论内容': '老夫估计过几天，官方宣布南方某地高速在全体人员不间断的努力下，以畅通想为回家，返程的人员保驾护航，某某是红旗标兵'}
{'评论时间': '2024-02-09 11:50:00', 'IP属地': '山东', '评论内容': '冻雨是天灾，清理不了的，'}
{'评论时间': '2024-02-09 11:38:54', 'IP属地': '湖北', '评论内容': '你这是冰箱里面刚拿出来的吧'}
{'评论时间': '2024-02-09 15:41:00', 'IP属地': '浙江', '评论内容': '感动'}
{'评论时间': '2024-02-09 07:44:29', 'IP属地': '陕西', '评论内容': '化骨绵掌 第一式 掌内聚气 上下上下  融化它'}
{'评论时间': '2024-02-09 21:09:19', 'IP属地': '江西', '评论内容': '月经来了再买卫生巾，搞身上，还说量太大'}
{'评论时间': '2024-02-09 18:03:16', 'IP属地': '广东', '评论内容': '要不要驾照啊？'}
{'评论时间': '2024-02-09 00:23:23', 'IP属地': '北京', '评论内容': '传说中的冻雨下到地上瞬间六公分'}
{'评论时间': '2024-02-09 21:08:14', 'IP属地': '河南', '评论内容': '承认冻雨会结冰也是很优秀的'}
{'评论时间': '2024-02-09 11:15:05', 'IP属地': '海南', '评论内容': '感恩历史、恩泽未来！'}
{'评论时间': '2024-02-09 08:53:30', 'IP属地': '山东', '评论内容': '头一次听说冻雨，和雨夹雪有啥不同嘛'}
{'评论时间': '2024-02-09 14:53:56', 'IP属地': '湖北', '评论内容': '好看的耶'}
{'评论时间': '2024-02-09 11:31:57', 'IP属地': '山东', '评论内容': '冰川时代了'}
{'评论时间': '2024-02-09 11:24:42', 'IP属地': '北京', '评论内容': '我看谁敢骂'}
{'评论时间': '2024-02-09 23:04:42', 'IP属地': '河北', '评论内容': '加油'}
{'评论时间': '2024-02-09 17:47:50', 'IP属地': '河南', '评论内容': '好像有破冰车吧'}
{'评论时间': '2024-02-09 09:41:16', 'IP属地': '河南', '评论内容': '尊贵的小米14用户'}
{'评论时间': '2024-02-09 01:13:26', 'IP属地': '湖北', '评论内容': '颠'}
{'评论时间': '2024-02-09 09:44:15', 'IP属地': '广东', '评论内容': '冻雨好像冰箱里的冰块一样'}
{'评论时间': '2024-02-09 06:07:42', 'IP属地': '四川', '评论内容': '湖北，辛苦了，湖北，加油＾０＾~'}
{'评论时间': '2024-02-09 14:52:49', 'IP属地': '广东', '评论内容': '难怪进武汉的时候我雨刮器给冻上了'}
{'评论时间': '2024-02-09 08:09:22', 'IP属地': '陕西', '评论内容': '一下雪，小一点还好，雪厚了，管他还下不下，赶紧把车上的雪扫了，不然厚了不好扫，还容易冻住，天窗是扫的最积极的，就怕雪花了把胶条冻住了'}
{'评论时间': '2024-02-09 09:36:07', 'IP属地': '河南', '评论内容': '冷冷的冰雨在窗外胡乱的拍'}
{'评论时间': '2024-02-09 12:02:03', 'IP属地': '四川', '评论内容': '麻烦湖北的朋友别科普冻雨了，看看你们本地程力集团是干啥的'}
{'评论时间': '2024-02-09 22:10:44', 'IP属地': '广西', '评论内容': '你这个铲有点小'}
{'评论时间': '2024-02-09 19:32:31', 'IP属地': '广东', '评论内容': '免费贴了冰膜'}
{'评论时间': '2024-02-09 09:57:51', 'IP属地': '天津', '评论内容': '山高路远雪芒芒'}
{'评论时间': '2024-02-09 10:26:24', 'IP属地': '湖南', '评论内容': '到底是哪些缺德的人在哪里🐎鄂鄂！！！快过年给自己积点德吧'}
{'评论时间': '2024-02-09 12:11:22', 'IP属地': '河南', '评论内容': '开始下的时候不清，等到路压成这个样子。到那到都不好清。'}
{'评论时间': '2024-02-09 15:11:15', 'IP属地': '广东', '评论内容': '不完美设计！加装一个热溶冰'}
{'评论时间': '2024-02-09 00:31:34', 'IP属地': '河南', '评论内容': '一莎泪目了，湖北一定行'}
{'评论时间': '2024-02-09 12:16:34', 'IP属地': '辽宁', '评论内容': '一直持续到6号'}
{'评论时间': '2024-02-09 07:31:52', 'IP属地': '吉林', '评论内容': '为啥不加防护网……'}
{'评论时间': '2024-02-09 08:10:51', 'IP属地': '安徽', '评论内容': '冻雨是透明的冰，这特么明明是雪压多了压成这样的'}
{'评论时间': '2024-02-09 19:06:00', 'IP属地': '河南', '评论内容': '好严重'}
{'评论时间': '2024-02-09 14:44:26', 'IP属地': '天津', '评论内容': '反人类，竟然都这样设计，真是奇了葩了'}
{'评论时间': '2024-02-09 15:21:51', 'IP属地': '广东', '评论内容': '压垮骆驼的最后一根稻草'}
{'评论时间': '2024-02-09 09:53:09', 'IP属地': '湖北', '评论内容': '无所谓，谁骂就举报谁是50w'}
{'评论时间': '2024-02-09 08:50:49', 'IP属地': '湖南', '评论内容': '又要到饭了，兄弟们'}
{'评论时间': '2024-02-09 20:32:15', 'IP属地': '湖北', '评论内容': '嗯'}
{'评论时间': '2024-02-09 17:40:48', 'IP属地': '辽宁', '评论内容': '假东北人'}
{'评论时间': '2024-02-09 10:01:34', 'IP属地': '河南', '评论内容': '这才是高科技，雪天路滑不让你开车'}
{'评论时间': '2024-02-09 11:32:43', 'IP属地': '湖北', '评论内容': '实在忍不住'}
{'评论时间': '2024-02-09 12:01:14', 'IP属地': '河南', '评论内容': '大笔（扣儿）'}
{'评论时间': '2024-02-09 10:31:46', 'IP属地': '辽宁', '评论内容': '有一个功能叫暖风'}
{'评论时间': '2024-02-09 10:37:13', 'IP属地': '天津', '评论内容': '三个海公牛'}
{'评论时间': '2024-02-09 07:00:22', 'IP属地': '山东', '评论内容': '所以为什么要用电车跑长途呢'}
{'评论时间': '2024-02-09 14:05:15', 'IP属地': '福建', '评论内容': '过冷水'}
{'评论时间': '2024-02-09 06:06:02', 'IP属地': '山东', '评论内容': '冻雨'}
{'评论时间': '2024-02-09 02:45:39', 'IP属地': '湖北', '评论内容': '湖北人见识短，啥都不懂，每年都需要其他省市的“热心市民”教导哈做人做事。我们虚心学了，又阴阳怪气哔哔赖赖，像极了村口大妈的口水。让我想起我是法系车主，买个法系车开个法系车，这被喷，那被嚼。不晓得是招谁惹谁了'}
{'评论时间': '2024-02-09 16:09:20', 'IP属地': '湖北', '评论内容': '你这不是叫打雪仗，你这叫打雪架'}
{'评论时间': '2024-02-09 14:08:28', 'IP属地': '河北', '评论内容': '看的我热泪盈眶'}
{'评论时间': '2024-02-09 03:32:50', 'IP属地': '江西', '评论内容': '江西看到啦'}
{'评论时间': '2024-02-09 13:39:20', 'IP属地': '黑龙江', '评论内容': '别的地方咋冻没办法，高速公路上，马上撒盐，然后昼夜清理，难道不应该吗'}
{'评论时间': '2024-02-09 06:23:15', 'IP属地': '广东', '评论内容': '叔叔我在广东不可思议的笑出了声'}
